,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Ain't Shit,Planet Her,Doja Cat,2021-06-25,174253,90,0.855,0.506,0.488,0.0,0.347,-4.601,0.208,124.097,4
1,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2021-01-06,132780,90,0.778,0.175,0.695,0.0,0.15,-6.865,0.0913,149.996,4
2,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,192956,88,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4
3,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,165819,83,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,4
4,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,95,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,4
5,Arcade,Arcade,Duncan Laurence,2019-03-07,183624,84,0.45,0.818,0.329,0.00109,0.135,-12.603,0.0441,71.884,3
6,AM Remix,AM Remix,Nio Garcia,2021-06-24,261334,93,0.743,0.114,0.655,0.0,0.0764,-5.015,0.159,172.031,4
7,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021-04-23,191013,94,0.65,0.0215,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,4
8,As the World Caves In,As the World Caves In,Matt Maltese,2017-03-06,218754,80,0.331,0.365,0.45,0.00464,0.22,-5.362,0.034,123.829,4
9,All Eyes On Me,Inside (The Songs),Bo Burnham,2021-06-10,302950,81,0.352,0.733,0.424,2.3e-05,0.0664,-10.131,0.0394,127.047,4
10,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,121572,85,0.493,0.269,0.653,0.0,0.511,-5.666,0.0466,142.347,4
11,American Boy,Shine,Estelle,2008-03-28,284733,77,0.727,0.171,0.729,0.0,0.07,-2.99,0.326,117.932,4
12,Anyone,Kuhanje : Pop Hitovi,Various Artists,2021-08-04,190779,0,0.686,0.181,0.538,3.13e-06,0.113,-8.026,0.0345,115.884,4
13,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,2021-04-27,168030,86,0.39,0.0021,0.83,0.0,0.156,-5.201,0.0563,90.021,4
14,Another Love,Long Way Down,Tom Odell,2013-09-17,244360,67,0.445,0.695,0.537,1.6e-05,0.0941,-8.532,0.04,122.764,4
15,As the World Caves In,As the World Caves In,Sarah Cothran,2021-06-10,161612,84,0.372,0.436,0.255,0.0,0.33,-6.834,0.0344,114.402,1
16,Ay Vamos,Nivel Reggaeton,Various Artists,2021-08-06,226413,0,0.718,0.157,0.711,5.52e-05,0.1,-5.746,0.11,173.916,4
17,m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,2021-05-14,218801,83,0.597,0.0622,0.587,0.0,0.214,-7.026,0.137,140.021,4
18,Are You Bored Yet? (feat. Clairo),Nothing Happens,Wallows,2019-03-22,178000,81,0.682,0.156,0.683,2.32e-05,0.273,-6.444,0.0287,120.023,4
19,Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,2020-10-23,232533,81,0.487,0.191,0.65,0.0,0.0933,-5.195,0.0253,151.964,4
20,a m a r i,The Off-Season,J. Cole,2021-05-14,148421,80,0.725,0.127,0.713,0.0,0.617,-6.173,0.187,65.988,4
21,Late At Night,Late At Night,Roddy Ricch,2021-06-04,174682,84,0.643,0.343,0.403,0.0,0.138,-11.254,0.41,98.54,4
22,After Party,Heaven Or Hell,Don Toliver,2020-03-13,167915,80,0.629,0.00981,0.692,0.331,0.603,-8.045,0.0376,162.948,4
23,Martin & Gina,THE GOAT,Polo G,2020-05-15,132832,85,0.832,0.345,0.534,0.0,0.165,-7.813,0.253,93.924,4
24,"...And to Those I Love, Thanks for Sticking Around",Stop Staring at the Shadows,$uicideboy$,2020-02-14,168489,80,0.792,0.124,0.511,9.04e-05,0.14,-6.876,0.0409,113.983,4
25,Heartbreak Anniversary,TAKE TIME,Giveon,2020-03-27,198370,87,0.449,0.524,0.465,1.02e-06,0.303,-8.964,0.0791,89.087,3
26,Build a Bitch,Build a Bitch,Bella Poarch,2021-05-14,122772,90,0.855,0.217,0.463,1.77e-05,0.347,-7.454,0.0367,102.931,4
27,Adore You,Fine Line,Harry Styles,2019-12-13,207133,84,0.676,0.0237,0.771,7e-06,0.102,-3.675,0.0483,99.048,4
28,Armed And Dangerous,Goodbye & Good Riddance,Juice WRLD,2018-12-10,169999,78,0.736,0.186,0.67,0.0,0.114,-6.702,0.311,130.032,4
29,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,236524,83,0.477,0.000866,0.727,0.0,0.108,-4.053,0.286,150.062,4
30,ABOUT YOU,F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,128894,68,0.632,0.0116,0.508,0.0,0.0992,-8.435,0.0842,163.985,4
31,p r i d e . i s . t h e . d e v i l (with Lil Baby),The Off-Season,J. Cole,2021-05-14,218210,82,0.861,0.104,0.656,0.0,0.0986,-7.867,0.425,88.967,4
32,ATTENTION,F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,104524,68,0.878,0.0274,0.583,0.0,0.393,-7.053,0.0729,132.939,4
33,NOT SOBER (feat. Polo G & Stunna Gambino),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,216000,84,0.671,0.0928,0.639,0.0,0.0941,-6.852,0.134,119.82,5
34,Afterglow,Neo Mellow,Various Artists,2021-08-06,185486,0,0.641,0.698,0.324,0.0,0.328,-5.851,0.0299,110.184,4
35,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,2021-05-13,224042,84,0.792,0.116,0.707,0.0,0.12,-5.218,0.0623,134.997,4
36,A-O-K,TV,Tai Verdes,2021-05-20,173640,73,0.731,0.125,0.626,0.0,0.183,-6.919,0.0805,82.488,4
37,Another One Bites The Dust - Remastered 2011,The Game (Deluxe Remastered Version),Queen,1980-06-27,214653,74,0.933,0.112,0.528,0.329,0.163,-6.472,0.162,109.975,4
38,Ramen & OJ,Ramen & OJ,Joyner Lucas,2021-04-30,218447,81,0.597,0.492,0.571,0.0,0.093,-6.205,0.293,106.196,3
39,All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,84,0.422,0.922,0.264,0.0,0.132,-7.064,0.0322,119.93,4
40,Todo De Ti,Todo De Ti,Rauw Alejandro,2021-05-20,199604,95,0.78,0.31,0.718,0.000163,0.0932,-3.605,0.0506,127.949,4
41,Africa,Toto IV,TOTO,1982-04-08,295893,82,0.671,0.257,0.373,8.01e-05,0.0481,-18.064,0.0323,92.718,4
42,ALWAYS DO,F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,151704,59,0.762,0.0442,0.426,0.0,0.0858,-6.865,0.113,167.827,4
43,Heat Waves,Dreamland,Glass Animals,2020-08-07,238805,84,0.761,0.44,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
44,All The Small Things,Enema Of The State,blink-182,1999-06-01,167066,79,0.434,0.0103,0.897,0.0,0.612,-4.918,0.0488,148.726,4
45,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),Galantis,2021-05-20,183725,89,0.595,0.216,0.784,0.0,0.0608,-4.878,0.102,124.111,4
46,a lot,i am > i was,21 Savage,2018-12-21,288624,77,0.837,0.0395,0.636,0.00125,0.342,-7.643,0.086,145.972,4
47,Boyfriend - Acoustic Version,All Acoustic,Various Artists,2021-07-23,187680,0,0.752,0.843,0.292,0.0,0.1,-8.967,0.0928,89.831,4
48,Ain't No Mountain High Enough,United,Marvin Gaye,1967-08-29,151666,80,0.663,0.43,0.6,0.0,0.184,-10.87,0.032,129.991,4
49,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,84,0.823,0.114,0.586,0.0,0.193,-6.606,0.2,125.971,4
50,Beggin',Chosen,Måneskin,2017-12-08,211560,100,0.714,0.127,0.8,0.0,0.359,-4.808,0.0504,134.002,4
51,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,98,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4
52,Best Friend (feat. Doja Cat),Best Friend (feat. Doja Cat),Saweetie,2021-01-07,155883,84,0.84,0.00302,0.766,3.61e-06,0.0684,-4.12,0.136,94.018,4
53,Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,98,0.808,0.0469,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4
54,Baby Shark,Pinkfong Animal Songs,Pinkfong,2017-07-27,80927,74,0.829,0.259,0.886,0.0,0.0559,-1.746,0.112,115.056,4
55,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,164441,96,0.759,0.00323,0.459,0.0,0.0906,-5.187,0.0948,109.997,4
56,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,2021-03-31,137875,97,0.61,0.297,0.508,0.0,0.384,-6.682,0.152,178.818,4
57,brutal,SOUR,Olivia Rodrigo,2021-05-21,143746,89,0.672,0.0311,0.526,1.37e-06,0.28,-6.446,0.0599,123.999,4
